Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Size (product.metafields.shopify.size),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Philippines,Price / Philippines,Compare At Price / Philippines,Status
darwin-yb,DARWIN YB,"<p><strong>Feature<br></strong>Vicrotech Material<br>Memory foam insole</p>
<p><strong>Advantage<br></strong>Flexible, water resistant<br>Memory foam for added comfort and cushioning<br>Added style flexible, water resistant</p>
<p><strong>Benefit<br></strong>Durable<br>Better distribution of balance<br>Durable, better aesthetics<br>Easy to wear</p>
<p>Foot Type Guide : Wide</p>",EASY SOFT PH,Apparel & Accessories > Shoes,Kids,"Boys, Kids, Loafers",TRUE,Color,Black,,Size,30,,,,,10128006Y301000000001,0,shopify,2,deny,manual,599,599,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0599/4731/9470/files/ESDARWINKIDSBLACK_5.jpg?v=1738910819,1,,FALSE,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0599/4731/9470/files/ESDARWINKIDSBLACK_1.jpg?v=1738910819,g,,,TRUE,,,active
darwin-yb,,,,,,,,,Black,,,31,,,,,10128006Y311000000001,0,shopify,4,deny,manual,599,599,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0599/4731/9470/files/ESDARWINKIDSBLACK_6.jpg?v=1738910819,2,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0599/4731/9470/files/ESDARWINKIDSBLACK_1.jpg?v=1738910819,g,,,,,,
darwin-yb,,,,,,,,,Black,,,32,,,,,10128006Y321000000001,0,shopify,1,deny,manual,599,599,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0599/4731/9470/files/ESDARWINKIDSBLACK_1.jpg?v=1738910819,3,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0599/4731/9470/files/ESDARWINKIDSBLACK_1.jpg?v=1738910819,g,,,,,,
darwin-yb,,,,,,,,,Black,,,33,,,,,10128006Y331000000001,0,shopify,3,deny,manual,599,599,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0599/4731/9470/files/ESDARWINKIDSBLACK_2.jpg?v=1738910819,4,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0599/4731/9470/files/ESDARWINKIDSBLACK_1.jpg?v=1738910819,g,,,,,,
darwin-yb,,,,,,,,,Black,,,34,,,,,10128006Y341000000001,0,shopify,2,deny,manual,599,599,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0599/4731/9470/files/ESDARWINKIDSBLACK_4.jpg?v=1738910819,5,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0599/4731/9470/files/ESDARWINKIDSBLACK_1.jpg?v=1738910819,g,,,,,,
darwin-yb,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0599/4731/9470/files/ESDARWINKIDSBLACK_3.jpg?v=1738910819,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
orlando-yb,ORLANDO YB,"<p><strong data-mce-fragment=""1"">Feature</strong><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Vicrotech Material</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Memory foam insole</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Advantage</strong><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Flexible, water resistant</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Memory foam for added comfort and cushioning</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Added style flexible, water resistant</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Benefit</strong><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Durable</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Better distribution of balance</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Durable, better aesthetics</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Easy to wear</span></p>
<p><span data-mce-fragment=""1"">Foot Type Guide : Wide</span></p>",EASY SOFT PH,Apparel & Accessories > Shoes,Kids,"Boys, Kids, Velcro Strap",TRUE,Color,Black,,Size,30,,,,,3262006Y301000000001,0,shopify,5,deny,manual,599,599,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0599/4731/9470/files/ESORLANDOKIDSBLACK_5.jpg?v=1738910804,1,,FALSE,,,,,,,,,,,,,,,0,,,https://cdn.shopify.com/s/files/1/0599/4731/9470/files/ESORLANDOKIDSBLACK_5.jpg?v=1738910804,g,,,TRUE,,,active
orlando-yb,,,,,,,,,Black,,,31,,,,,3262006Y311000000001,0,shopify,2,deny,manual,599,599,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0599/4731/9470/files/ESORLANDOKIDSBLACK_1.jpg?v=1738910804,2,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0599/4731/9470/files/ESORLANDOKIDSBLACK_5.jpg?v=1738910804,g,,,,,,
orlando-yb,,,,,,,,,Black,,,32,,,,,3262006Y321000000001,0,shopify,2,deny,manual,599,599,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0599/4731/9470/files/ESORLANDOKIDSBLACK_6.jpg?v=1738910804,3,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0599/4731/9470/files/ESORLANDOKIDSBLACK_5.jpg?v=1738910804,g,,,,,,
orlando-yb,,,,,,,,,Black,,,33,,,,,3262006Y331000000001,0,shopify,3,deny,manual,599,599,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0599/4731/9470/files/ESORLANDOKIDSBLACK_2.jpg?v=1738910804,4,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0599/4731/9470/files/ESORLANDOKIDSBLACK_5.jpg?v=1738910804,g,,,,,,
